"line","env","label","text"
"104","theorem","thm:main_reduction","\begin{theorem}[Reduction to global $J$-contractivity]\label{thm:main_reduction}"
"180","definition","def:herglotz","\begin{definition}[Herglotz (Nevanlinna) function]\label{def:herglotz}"
"214","lemma","lem:W0","\begin{lemma}[The point $z=0$ is regular and $W(0)=1$]\label{lem:W0}"
"411","lemma","lem:W_unit_real","\begin{lemma}[Unit modulus on $\mathbb R$]\label{lem:W_unit_real}"
"455","lemma","lem:highline_contraction","\begin{lemma}[Uniform positivity of $\Im H$ on a high line]\label{lem:highline_contraction}"
"539","definition","def:bc_strip","\begin{definition}[Uniform Nevanlinna control on a strip]\label{def:bc_strip}"
"551","definition","def:strip_logderiv_energy","\begin{definition}[Strip log-derivative energy]\label{def:strip_logderiv_energy}"
"561","lemma","lem:no_pole_nevanlinna","\begin{lemma}[Log-derivative energy forbids interior zeros/poles]\label{lem:no_pole_nevanlinna}"
"608","definition","def:circle_hardy_energy","\begin{definition}[Circle Hardy negative-mode energy and the $b$-detector]\label{def:circle_hardy_energy}"
"627","lemma","lem:b_detector_gram","\begin{lemma}[Gram/Hankel form of the $b$-detector]\label{lem:b_detector_gram}"
"687","lemma","lem:hardy_pole_locator","\begin{lemma}[Hardy pole locator on a circle]\label{lem:hardy_pole_locator}"
"723","corollary","cor:b_detector","\begin{corollary}[$b$--detector functional]\label{cor:b_detector}"
"747","corollary","cor:circle_hardy_certificate","\begin{corollary}[Circle--Hardy certificate for zero-freeness]\label{cor:circle_hardy_certificate}"
"769","lemma","lem:bc_poisson_strip","\begin{lemma}[Reverse compression via the Smirnov maximum principle]\label{lem:bc_poisson_strip}"
"792","lemma","lem:W_bounded_characteristic","\begin{lemma}[Uniform Nevanlinna control for $W$ on strips]\label{lem:W_bounded_characteristic}"
"806","proposition","prop:W_strip_schur","\begin{proposition}[Schur bound on a strip via the circle--Hardy certificate]\label{prop:W_strip_schur}"
"827","proposition","prop:W_global_schur","\begin{proposition}[Global Schur bound on $\mathbb C_+$ via the circle--Hardy certificate]\label{prop:W_global_schur}"
