"file","line","kind","name","text"
"Basic.lean","1","def","hello","def hello := ""world"""
"BcPoissonStrip.lean","5","def","StripBoundaryMaximumPrinciple","def StripBoundaryMaximumPrinciple (F : Complex -> Complex) : Prop :="
"BcPoissonStrip.lean","12","theorem","bc_poisson_strip","theorem bc_poisson_strip"
"BDetector.lean","5","def","BDetectorFunctionalOnCircle","def BDetectorFunctionalOnCircle (H : Complex -> Complex) : Prop :="
"BDetector.lean","11","theorem","b_detector","theorem b_detector"
"BDetectorGram.lean","5","def","BDetectorGramIdentity","def BDetectorGramIdentity (H : Complex -> Complex) : Prop :="
"BDetectorGram.lean","11","theorem","b_detector_gram","theorem b_detector_gram"
"CalibArithStieltjes.lean","5","def","ArithStieltjesModelAt","def ArithStieltjesModelAt (_z : Complex) : Prop :="
"CalibArithStieltjes.lean","11","theorem","calib_arith_stieltjes","theorem calib_arith_stieltjes"
"CalibKernelMatch.lean","5","def","CalibKernelMatchAt","def CalibKernelMatchAt (z : Complex) : Prop :="
"CalibKernelMatch.lean","11","theorem","calib_kernel_match","theorem calib_kernel_match"
"CanonicalTruncDetector0B21.lean","5","def","NoNegativeModesOnCircle","def NoNegativeModesOnCircle (n : Nat) : Prop := Exists fun k : Nat => k <= n"
"CanonicalTruncDetector0B21.lean","6","def","DetectorDefectZeroAtLevel","def DetectorDefectZeroAtLevel (_n : Nat) : Prop :="
"CanonicalTruncDetector0B21.lean","12","theorem","canonical_trunc_detector0","theorem canonical_trunc_detector0"
"CayleyEquiv.lean","11","theorem","cayley_equiv","theorem cayley_equiv"
"CholCert.lean","5","def","A2ApproxCholeskyResidualAt","def A2ApproxCholeskyResidualAt (z : Complex) : Prop := Exists fun w : Complex => w = z"
"CholCert.lean","6","def","A2CholCertAt","def A2CholCertAt (z : Complex) : Prop := Exists fun w : Complex => w = z"
"CholCert.lean","11","theorem","chol_cert","theorem chol_cert"
"CircleHardyCertificate.lean","6","def","CircleHardyZeroFreeCertificate","def CircleHardyZeroFreeCertificate (f _H : Complex -> Complex) : Prop :="
"CircleHardyCertificate.lean","12","theorem","circle_hardy_certificate","theorem circle_hardy_certificate"
"DiscreteLagrangeGramB21.lean","5","def","MatrixPickKernel","def MatrixPickKernel (_n : Nat) (_z _w : Complex) : Complex := 0"
"DiscreteLagrangeGramB21.lean","6","def","GramSumIdentityAt","def GramSumIdentityAt (n : Nat) (_z _w : Complex) : Prop := Exists fun k : Nat => k = n"
"DiscreteLagrangeGramB21.lean","7","def","MatrixPickKernelPSDAtLevel","def MatrixPickKernelPSDAtLevel (n : Nat) : Prop := Exists fun m : Nat => m <= n"
"DiscreteLagrangeGramB21.lean","12","theorem","discrete_lagrange_gram","theorem discrete_lagrange_gram"
"EnergyIdentityB21.lean","5","def","UpperHalfPlanePoint","def UpperHalfPlanePoint (zeta : Complex) : Prop := 0 < Complex.im zeta"
"EnergyIdentityB21.lean","6","def","RInvertibleAt","def RInvertibleAt (_zeta : Complex) (_R : Complex -> Complex) : Prop := Exists fun C : Real => 0 <= C"
"EnergyIdentityB21.lean","7","def","EnergyIdentityAt","def EnergyIdentityAt (_zeta : Complex) (_M _R _H : Complex -> Complex) : Prop :="
"EnergyIdentityB21.lean","9","def","PositiveSemidefiniteTransport","def PositiveSemidefiniteTransport (_zeta : Complex) (_R _H : Complex -> Complex) : Prop :="
"EnergyIdentityB21.lean","11","def","JContractiveAt","def JContractiveAt (_zeta : Complex) (_M : Complex -> Complex) : Prop := Exists fun n0 : Nat => 0 <= n0 /\ 0 < n0"
